Date,Currency,Mean,Buy,Sell
29/01/2010,US DOLLAR,75.8856,75.7861,75.985
29/01/2010,STG POUND,122.423,122.252,122.594
29/01/2010,EURO,105.858,105.713,106.003
29/01/2010,SA RAND,9.9501,9.9157,9.9844
29/01/2010,KES/USHS,25.6967,25.5972,25.7963
29/01/2010,KES/TSHS,17.6648,17.6087,17.7209
29/01/2010,AE DIRHAM,20.6604,20.6327,20.688
29/01/2010,CAN $,71.0754,70.9619,71.1889
29/01/2010,S FRANC,72.0879,71.9613,72.2146
29/01/2010,JPY(100),84.5052,84.392,84.6184
29/01/2010,SW KRONER,10.3255,10.3063,10.3446
29/01/2010,NOR KRONER,12.8848,12.8603,12.9093
29/01/2010,DAN KRONER,14.2127,14.19,14.2353
29/01/2010,IND RUPEE,1.6378,1.6353,1.6403
29/01/2010,HONGKONG $,9.7689,9.7558,9.7821
29/01/2010,SINGAPORE $,53.9651,53.856,54.0742
29/01/2010,SAUDI RIYAL,20.2362,20.2091,20.2632
29/01/2010,CHINESE YUAN,11.1142,11.098,11.1304
29/01/2010,AUSTRALIAN $,67.6178,67.5179,67.7178
01/02/2010,US DOLLAR,75.9653,75.8611,76.0694
01/02/2010,STG POUND,121.184,121.008,121.36
01/02/2010,EURO,105.511,105.363,105.66
01/02/2010,SA RAND,9.9877,9.9638,10.0116
01/02/2010,KES/USHS,25.6961,25.595,25.7971
01/02/2010,KES/TSHS,17.6529,17.5761,17.7298
01/02/2010,AE DIRHAM,20.6821,20.6532,20.711
01/02/2010,CAN $,70.9908,70.8772,71.1044
01/02/2010,S FRANC,71.6901,71.5513,71.8289
01/02/2010,JPY(100),84.2482,84.1427,84.3536
01/02/2010,SW KRONER,10.3505,10.3334,10.3677
01/02/2010,NOR KRONER,12.8856,12.8607,12.9104
01/02/2010,DAN KRONER,14.1637,14.1403,14.187
01/02/2010,IND RUPEE,1.6406,1.6383,1.6428
01/02/2010,HONGKONG $,9.78,9.7664,9.7936
01/02/2010,SINGAPORE $,53.8723,53.7717,53.9729
01/02/2010,SAUDI RIYAL,20.2566,20.228,20.2852
01/02/2010,CHINESE YUAN,11.1272,11.1118,11.1426
01/02/2010,AUSTRALIAN $,67.104,66.993,67.215
02/02/2010,US DOLLAR,76.0458,75.9444,76.1472
02/02/2010,STG POUND,121.365,121.096,121.633
02/02/2010,EURO,105.953,105.725,106.18
02/02/2010,SA RAND,10.1,10.0709,10.1291
02/02/2010,KES/USHS,25.6163,25.5164,25.7162
02/02/2010,KES/TSHS,17.6802,17.6238,17.7367
02/02/2010,AE DIRHAM,20.704,20.6758,20.7322
02/02/2010,CAN $,71.5861,71.415,71.7572
02/02/2010,S FRANC,71.8865,71.7218,72.0512
02/02/2010,JPY(100),83.9229,83.6866,84.1592
02/02/2010,SW KRONER,10.4669,10.4387,10.495
02/02/2010,NOR KRONER,12.9807,12.9554,13.0061
02/02/2010,DAN KRONER,14.2267,14.2027,14.2507
02/02/2010,IND RUPEE,1.6451,1.6412,1.649
02/02/2010,HONGKONG $,9.7897,9.7763,9.8031
02/02/2010,SINGAPORE $,53.8874,53.7965,53.9783
02/02/2010,SAUDI RIYAL,20.2786,20.2513,20.3059
02/02/2010,CHINESE YUAN,11.1369,11.1204,11.1533
02/02/2010,AUSTRALIAN $,67.0306,66.9298,67.1314
03/02/2010,EURO,106.33,106.186,106.474
03/02/2010,SA RAND,10.1492,10.1159,10.1825
03/02/2010,KES/USHS,25.6822,25.5833,25.7812
03/02/2010,KES/TSHS,17.6885,17.6459,17.7311
03/02/2010,AE DIRHAM,20.7256,20.6982,20.753
03/02/2010,CAN $,71.9575,71.8593,72.0558
03/02/2010,S FRANC,72.0662,71.9625,72.1699
03/02/2010,JPY(100),84.2136,84.115,84.3121
